surname,team_name,position,cost,goal_points,assist_points,clean_points,conceded_points,defcon_points,appearance_points,bonus_points,xPoints
Sadiki,Sunderland,MID,50,7.1499999999999995,4.38,4.226608187134502,-0.0,5.962618465841219,66.0,0.0,87.71922665297572
Ajer,Brentford,DEF,45,4.14,2.19,19.0,-4.222222222222222,19.562102257664144,46.0,1.0,87.66988003544192
Yoro,Man Utd,DEF,50,8.040000000000001,1.77,18.210526315789473,-2.023391812865497,11.449506336767,49.0,1.0,87.44664083969099
Reijnders,Man City,MID,60,23.05,7.050000000000001,5.6947368421052635,-0.0,0.42013461037331123,45.0,6.0,87.21487145247858
Spence,Spurs,DEF,45,5.4,5.3100000000000005,23.964912280701753,-4.193859649122807,1.6124359193332354,52.0,3.0,87.09348855091218
James,Chelsea,DEF,55,6.24,9.600000000000001,13.733333333333333,-5.1499999999999995,3.3197866528843885,48.0,11.0,86.74311998621772
Strand Larsen,Crystal Palace,FWD,60,21.2,3.3600000000000003,0.0,-0.0,0.024945829712778225,59.0,3.0,86.58494582971278
Hinshelwood,Brighton,MID,60,24.700000000000003,7.02,4.568421052631578,-0.0,0.699886111486423,47.0,2.0,85.988307164118
Lerma,Crystal Palace,MID,50,9.200000000000001,4.4399999999999995,3.524561403508772,-0.0,18.367854753993694,47.0,3.0,85.53241615750247
Dorgu,Man Utd,MID,60,11.950000000000001,5.5200000000000005,3.789473684210526,-0.0,13.22472163649946,40.0,11.0,85.48419532070999
De Cuyper,Brighton,DEF,45,9.959999999999999,12.24,14.778947368421052,-2.873684210526316,0.29885432170630927,42.0,9.0,85.40411747960104
Fofana,Chelsea,DEF,50,4.32,1.7999999999999998,12.056140350877193,-4.521052631578947,24.29837569516825,43.0,3.0,83.9534634144665
Danso,Spurs,DEF,50,3.7199999999999998,0.8400000000000001,17.41520467836257,-3.0476608187134504,23.87061745212888,39.0,1.0,82.798161311778
J.Murphy,Newcastle,MID,60,15.35,7.98,4.226315789473684,-0.0,0.20777532687469358,50.0,5.0,82.76409111634837
Digne,Aston Villa,DEF,45,4.0200000000000005,9.84,12.926315789473684,-1.6157894736842104,2.2465446679925196,50.0,5.0,82.417070983782
Sessegnon,Fulham,DEF,45,9.600000000000001,5.4,8.495906432748537,-3.716959064327485,7.410003741380607,47.0,8.0,82.18895110980166
