code,web_name,first_name,second_name,position,team,cost,status,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,xG,xAG,s90,team_name,old_team_name,s90_hist,cbit,recoveries,defcon_multiplier,is_mover,expected_defcon_points,xClean,xPoints
153682,Wilson,Harry,Wilson,MID,13,65,a,,,,,5.88,4.77,29.711111111111112,Leeds,Fulham,29.711111111111112,95.0,82.0,1.054016253236362,True,1.612954412210325,8.629769008873161,52.07032351446963
84450,Xhaka,Granit,Xhaka,MID,20,55,a,,,1.0,4.0,1.01,3.73,32.233333333333334,Sunderland,Sunderland,32.233333333333334,184.0,178.0,1.0,False,28.896608946894908,7.765504479579292,51.72366406246787
434752,Bijol,Jaka,Bijol,DEF,13,50,a,,,,,0.9,0.75,20.977777777777778,Leeds,Leeds,20.977777777777778,219.0,63.0,1.0,False,24.994138860489347,8.629769008873161,51.70028375961512
512462,O'Brien,Jake,O'Brien,DEF,9,50,a,,,,,1.67,1.0,34.644444444444446,Everton,Everton,34.644444444444446,231.0,114.0,1.0,False,9.525079620942295,7.837359265165153,51.12623305811767
221632,Romero,Cristian,Romero,DEF,19,50,a,,,,,1.39,1.25,20.766666666666666,Spurs,Spurs,20.766666666666666,197.0,88.0,1.0,False,19.78646487573008,8.799469388318785,51.11179620528307
440089,Damsgaard,Mikkel,Damsgaard,MID,4,55,a,,,3.0,6.0,2.61,5.43,22.733333333333334,Brentford,Brentford,22.733333333333334,102.0,139.0,1.0,False,16.969917683762326,8.020973864032173,51.10843011820964
560262,Kroupi.Jr,Junior,Kroupi,MID,3,75,a,,1.0,,,8.31,1.51,18.477777777777778,Bournemouth,Bournemouth,18.477777777777778,51.0,61.0,1.0,False,0.7948927717274027,8.530421646629756,51.02287265428451
78916,Burn,Dan,Burn,DEF,17,50,a,,,,,1.08,0.36,24.38888888888889,Newcastle,Newcastle,24.38888888888889,225.0,76.0,1.0,False,21.573274056094096,8.410057112543342,50.72400547367613
466525,Stach,Anton,Stach,MID,13,60,a,,,1.0,4.0,2.88,4.47,26.322222222222223,Leeds,Leeds,26.322222222222223,146.0,120.0,1.0,False,16.598136666903407,8.629769008873161,50.38589186632461
247632,Neto,Pedro,Lomba Neto,MID,6,65,a,,,4.0,6.0,4.59,6.84,29.211111111111112,Chelsea,Chelsea,29.211111111111112,38.0,84.0,1.0,False,0.076632627498641,8.232687211215962,49.875210018810556
