Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
95,Kaelan Casey,eng ENG,DF,West Ham,18,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Matty Cash,pl POL,DF,Aston Villa,25,1997,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101
97,Timothy Castagne,be BEL,DF,Fulham,27,1995,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113
98,Jonny Castro,es ESP,MF,Wolves,29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,13,10,952,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5,31,9
100,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,5,1,152,1.7,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,5,1
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
101,Youssef Chermiti,pt POR,FW,Everton,19,2004,18,1,208,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5,5,15
102,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,22,25,59
103,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,8,1,145,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,7,8
104,Leon Chiwome,eng ENG,FW,Wolves,17,2006,3,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,7
105,Tahith Chong,nl NED,"MF,FW",Luton Town,23,1999,33,20,1982,22,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101
106,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78
107,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,9,2,227,2.5,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,4,12,19
108,Bobby Clark,eng ENG,MF,Liverpool,18,2005,5,1,89,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,3,7
109,Jordan Clark,eng ENG,MF,Luton Town,29,1993,23,14,1304,14.5,1,1,2,1,0,0,4,0,1,1,1.3,2.2,21,51,39
110,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18
111,S̩amus Coleman,ie IRL,DF,Everton,34,1988,12,7,665,7.4,0,0,0,0,0,0,0,0,0,0,1,1,5,22,16
112,Nathan Collins,ie IRL,DF,Brentford,22,2001,32,29,2652,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11,97,18
113,Levi Colwill,eng ENG,DF,Chelsea,20,2003,23,20,1797,20,1,1,2,1,0,0,2,0,1.3,1.3,1.2,2.5,23,73,27
114,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,33,32,2786,31,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22,142,15
115,Jack Cork,eng ENG,MF,Burnley,34,1989,4,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
116,Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,7,1,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,3,2,8
