id,text,created_at,edit_history_tweet_ids
1808198894838599747,"Romania 0 : 3 Netherlands

▪ Pass directness: 33.2 - 32.9
▪ 10+ pass sequences: 2 - 23
▪ Goalkick length: 45.4 - 24.9
▪ Goalkick progr.: 30.3 - 79.9 https://t.co/rK5c3JEocl",2024-07-02T17:59:45.000Z,['1808198894838599747']
1808198855827378367,"Romania 0 : 3 Netherlands

▪ Penbox shots: 2 - 17
▪ Deep completions: 3 - 19
▪ Buildup completion: 77.2% - 90.5%
▪ PPDA: 20.6 - 9.3
▪ High turnovers: 2 - 7 https://t.co/eykV7YmHKJ",2024-07-02T17:59:36.000Z,['1808198855827378367']
1808198817269141691,"Romania 0 : 3 Netherlands

▪ xG: 0.36 - 3.05
▪ xThreat: 0.56 - 2.24
▪ Possession: 35.1% - 64.9%
▪ Field Tilt: 34.4% - 65.6%
▪ Def Action Height: 30.0 - 46.1 https://t.co/ojVIoZMKjV",2024-07-02T17:59:27.000Z,['1808198817269141691']
1807975622968574146,"USA 0 : 1 Uruguay

▪ xG: 0.45 - 1.59
▪ xThreat: 1.01 - 0.78
▪ Possession: 51.3% - 48.7%
▪ Field Tilt: 54.7% - 45.3%
▪ Def Action Height: 52.1 - 40.8 https://t.co/CEqaUM1VJt",2024-07-02T03:12:33.000Z,['1807975622968574146']
1807972184792748177,"Bolivia 1 : 3 Panama

▪ xG: 0.98 - 1.69
▪ xThreat: 0.89 - 1.29
▪ Possession: 51.4% - 48.6%
▪ Field Tilt: 30.5% - 69.5%
▪ Def Action Height: 37.2 - 51.1 https://t.co/PkeBGSG7lX",2024-07-02T02:58:54.000Z,['1807972184792748177']
1807893371056455697,"Nuno Mendes vs. Slovenia

Successful Passes: 95
Expected Threat: 0.21
Progression via pass: 7.59
Progression via carry: 4.92 https://t.co/RwkHoIAcTw",2024-07-01T21:45:43.000Z,['1807893371056455697']
1807893356137308636,"Portugal 0 : 0 Slovenia

▪ Pass directness: 26.6 - 45.1
▪ 10+ pass sequences: 34 - 2
▪ Goalkick length: 23.1 - 46.2
▪ Goalkick progr.: 78.2 - 31.1 https://t.co/jDltofkkR5",2024-07-01T21:45:39.000Z,['1807893356137308636']
1807893311572922541,"Portugal 0 : 0 Slovenia

▪ Penbox shots: 11 - 3
▪ Deep completions: 15 - 2
▪ Buildup completion: 89.7% - 65.3%
▪ PPDA: 6.5 - 14.8
▪ High turnovers: 5 - 4 https://t.co/h450CKXmIP",2024-07-01T21:45:29.000Z,['1807893311572922541']
1807893264324088184,"Portugal 0 : 0 Slovenia

▪ xG: 1.95 - 0.47
▪ xThreat: 2.27 - 0.73
▪ Possession: 70.8% - 29.2%
▪ Field Tilt: 76.9% - 23.1%
▪ Def Action Height: 48.7 - 35.1 https://t.co/Daypj19NND",2024-07-01T21:45:17.000Z,['1807893264324088184']
1807837246974054461,"Aurélien Tchouaméni vs. Belgium

Successful Passes: 91
Expected Threat: 0.41
Progression via pass: 10.15
Progression via carry: 3.37 https://t.co/xWgMwW3wM5",2024-07-01T18:02:42.000Z,['1807837246974054461']
1807837232822473204,"France 1 : 0 Belgium

▪ Pass directness: 29.9 - 24.7
▪ 10+ pass sequences: 26 - 22
▪ Goalkick length: 37.3 - 16.3
▪ Goalkick progr.: 37.9 - 55.0 https://t.co/DohXJDQJIU",2024-07-01T18:02:38.000Z,['1807837232822473204']
1807837187016478720,"France 1 : 0 Belgium

▪ Penbox shots: 13 - 3
▪ Deep completions: 17 - 5
▪ Buildup completion: 93.9% - 90.9%
▪ PPDA: 16.2 - 21.1
▪ High turnovers: 2 - 1 https://t.co/63t3KFPwJV",2024-07-01T18:02:28.000Z,['1807837187016478720']
1807837146264527068,"France 1 : 0 Belgium

▪ xG: 1.74 - 0.28
▪ xThreat: 1.9 - 0.64
▪ Possession: 54.9% - 45.1%
▪ Field Tilt: 75.8% - 24.2%
▪ Def Action Height: 47.1 - 36.2 https://t.co/dGSk1Rr0AS",2024-07-01T18:02:18.000Z,['1807837146264527068']
1807596945588072797,"Mexico 0 : 0 Ecuador

▪ xG: 1.23 - 0.39
▪ xThreat: 1.55 - 0.67
▪ Possession: 59.3% - 40.7%
▪ Field Tilt: 69.4% - 30.6%
▪ Def Action Height: 45.9 - 41.5 https://t.co/WKI3WjBon9",2024-07-01T02:07:50.000Z,['1807596945588072797']
1807593576655900948,"Jamaica 0 : 3 Venezuela

▪ xG: 0.31 - 1.79
▪ xThreat: 1.06 - 1.46
▪ Possession: 47.3% - 52.7%
▪ Field Tilt: 30.9% - 69.1%
▪ Def Action Height: 34.6 - 51.7 https://t.co/pXU7GAIWKz",2024-07-01T01:54:26.000Z,['1807593576655900948']
1807521212459086263,"Lamine Yamal vs. Georgia

Successful Passes: 54
Expected Threat: 0.76
Progression via pass: 5.24
Progression via carry: 6.75 https://t.co/0utpPEedUa",2024-06-30T21:06:53.000Z,['1807521212459086263']
1807521201599955248,"Spain 4 : 1 Georgia

▪ Pass directness: 26.8 - 37.6
▪ 10+ pass sequences: 38 - 6
▪ Goalkick length: 22.8 - 39.0
▪ Goalkick progr.: 87.2 - 37.3 https://t.co/w3FcktdjYK",2024-06-30T21:06:51.000Z,['1807521201599955248']
1807521160151883863,"Spain 4 : 1 Georgia

▪ Penbox shots: 18 - 1
▪ Deep completions: 27 - 1
▪ Buildup completion: 97.4% - 79.6%
▪ PPDA: 7.6 - 25.5
▪ High turnovers: 10 - 0 https://t.co/pgIZCIAL0k",2024-06-30T21:06:41.000Z,['1807521160151883863']
1807521116317208781,"Spain 4 : 1 Georgia

▪ xG: 3.48 - 0.15
▪ xThreat: 2.68 - 0.32
▪ Possession: 75.0% - 25.0%
▪ Field Tilt: 95.6% - 4.4%
▪ Def Action Height: 58.8 - 30.3 https://t.co/pzeboSwFZd",2024-06-30T21:06:30.000Z,['1807521116317208781']
1807484501444198737,"Norbert Gyömbér vs. England

Successful Passes: 35
Expected Threat: 0.18
Progression via pass: 3.89
Progression via carry: 2.82 https://t.co/pxmJpaNlOj",2024-06-30T18:41:01.000Z,['1807484501444198737']
1807484480074199148,"England 2 : 1 Slovakia

▪ Pass directness: 25.2 - 31.0
▪ 10+ pass sequences: 36 - 15
▪ Goalkick length: 44.4 - 40.3
▪ Goalkick progr.: 46.4 - 50.3 https://t.co/ZEAlxfZtn4",2024-06-30T18:40:56.000Z,['1807484480074199148']
1807484411623182501,"England 2 : 1 Slovakia

▪ Penbox shots: 8 - 8
▪ Deep completions: 16 - 12
▪ Buildup completion: 88.7% - 77.9%
▪ PPDA: 8.5 - 18.1
▪ High turnovers: 5 - 2 https://t.co/fKxdO0n8xc",2024-06-30T18:40:39.000Z,['1807484411623182501']
1807484353217450086,"England 2 : 1 Slovakia

▪ xG: 1.72 - 2.19
▪ xThreat: 1.92 - 1.46
▪ Possession: 63.1% - 36.9%
▪ Field Tilt: 67.1% - 32.9%
▪ Def Action Height: 53.3 - 35.9 https://t.co/D6ia4HCRao",2024-06-30T18:40:25.000Z,['1807484353217450086']
1807236506169626846,"Canada 0 : 0 Chile

▪ xG: 1.3 - 0.43
▪ xThreat: 1.18 - 1.11
▪ Possession: 56.1% - 43.9%
▪ Field Tilt: 53.5% - 46.5%
▪ Def Action Height: 40.7 - 46.3 https://t.co/etSdgyWysn",2024-06-30T02:15:34.000Z,['1807236506169626846']
1807233154044051578,"Ángel Di María vs. Peru

Successful Passes: 41
Expected Threat: 0.32
Progression via pass: 4.8
Progression via carry: 1.8 https://t.co/zvJyfarCF0",2024-06-30T02:02:15.000Z,['1807233154044051578']
1807233143315083613,"Argentina 2 : 0 Peru

▪ Pass directness: 31.0 - 37.7
▪ 10+ pass sequences: 26 - 2
▪ Goalkick length: 33.1 - 51.6
▪ Goalkick progr.: 65.9 - 35.9 https://t.co/eB0gRujRH0",2024-06-30T02:02:12.000Z,['1807233143315083613']
1807233101044797595,"Argentina 2 : 0 Peru

▪ Penbox shots: 10 - 2
▪ Deep completions: 5 - 5
▪ Buildup completion: 91.0% - 70.3%
▪ PPDA: 4.3 - 13.2
▪ High turnovers: 2 - 2 https://t.co/DXPPgtr4tW",2024-06-30T02:02:02.000Z,['1807233101044797595']
1807233063216394555,"Argentina 2 : 0 Peru

▪ xG: 2.37 - 0.15
▪ xThreat: 1.23 - 0.77
▪ Possession: 72.7% - 27.3%
▪ Field Tilt: 52.6% - 47.4%
▪ Def Action Height: 48.2 - 43.3 https://t.co/hER1CIxLkK",2024-06-30T02:01:53.000Z,['1807233063216394555']
1807163968752079048,"Toni Kroos vs. Denmark

Successful Passes: 91
Expected Threat: 0.53
Progression via pass: 8.43
Progression via carry: 1.45 https://t.co/yKKoosTpVg",2024-06-29T21:27:20.000Z,['1807163968752079048']
1807163954575401382,"Germany 2 : 0 Denmark

▪ Pass directness: 33.1 - 34.7
▪ 10+ pass sequences: 21 - 15
▪ Goalkick length: 10.7 - 33.3
▪ Goalkick progr.: 47.4 - 55.6 https://t.co/H0MCphMmQr",2024-06-29T21:27:16.000Z,['1807163954575401382']
1807163913022402679,"Germany 2 : 0 Denmark

▪ Penbox shots: 9 - 8
▪ Deep completions: 8 - 8
▪ Buildup completion: 88.4% - 85.9%
▪ PPDA: 12.0 - 12.1
▪ High turnovers: 4 - 2 https://t.co/kF94Ttud1g",2024-06-29T21:27:07.000Z,['1807163913022402679']
1807163869770772670,"Germany 2 : 0 Denmark

▪ xG: 2.53 - 1.2
▪ xThreat: 1.7 - 1.24
▪ Possession: 54.9% - 45.1%
▪ Field Tilt: 56.8% - 43.2%
▪ Def Action Height: 46.2 - 43.9 https://t.co/fxrysaYj0K",2024-06-29T21:26:56.000Z,['1807163869770772670']
