published_at,content
2024-06-26 21:13:38+00,Georgia 2 : 0 Portugal  ▪ xG: 1.64 - 2.65 ▪ xThreat: 0.54 - 2.25 ▪ Possession: 28.3% - 71.7% ▪ Field Tilt: 9.7% - 90.3% ▪ Def Action Height: 35.0 - 51.2 https://t.co/NU5iIQ88Lk
2024-06-26 21:13:58+00,Georgia 2 : 0 Portugal  ▪ Pass directness: 34.8 - 25.3 ▪ 10+ pass sequences: 5 - 32 ▪ Goalkick length: 50.7 - 28.6 ▪ Goalkick progr.: 22.6 - 89.1 https://t.co/lrVcMY63i8
2024-06-26 21:14:02+00,Gonçalo Inácio vs. Georgia  Successful Passes: 109 Expected Threat: 0.24 Progression via pass: 9.02 Progression via carry: 4.77 https://t.co/N9L6Wj7Inc
2024-06-26 21:00:08+00,Czechia 1 : 2 Turkiye  ▪ xG: 1.67 - 1.33 ▪ xThreat: 1.41 - 1.23 ▪ Possession: 32.8% - 67.2% ▪ Field Tilt: 32.7% - 67.3% ▪ Def Action Height: 47.4 - 47.4 https://t.co/6kWOT0Qfaz
2024-06-26 18:09:41+00,Ukraine 0 : 0 Belgium  ▪ xG: 0.66 - 1.0 ▪ xThreat: 1.18 - 0.94 ▪ Possession: 40.4% - 59.6% ▪ Field Tilt: 25.2% - 74.8% ▪ Def Action Height: 39.5 - 49.9 https://t.co/VoBbtjpuuN
2024-06-26 18:10:02+00,Ukraine 0 : 0 Belgium  ▪ Pass directness: 30.8 - 25.4 ▪ 10+ pass sequences: 12 - 26 ▪ Goalkick length: 28.7 - 39.4 ▪ Goalkick progr.: 62.1 - 45.3 https://t.co/fQMJcjollD
2024-06-26 18:10:05+00,Mykola Matviienko vs. Belgium  Successful Passes: 62 Expected Threat: 0.17 Progression via pass: 4.39 Progression via carry: 3.03 https://t.co/KNOn4mcqtt
2024-06-26 17:56:26+00,Slovakia 1 : 1 Romania  ▪ xG: 1.0 - 1.02 ▪ xThreat: 1.3 - 0.43 ▪ Possession: 58.0% - 42.0% ▪ Field Tilt: 51.4% - 48.6% ▪ Def Action Height: 47.4 - 45.0 https://t.co/cpCCKBOMxQ
2024-06-26 03:08:33+00,Chile 0 : 1 Argentina  ▪ xG: 0.2 - 3.42 ▪ xThreat: 0.6 - 2.07 ▪ Possession: 39.4% - 60.6% ▪ Field Tilt: 43.3% - 56.7% ▪ Def Action Height: 47.8 - 46.1 https://t.co/f0X7qFDWHR
2024-06-26 03:08:53+00,Chile 0 : 1 Argentina  ▪ Pass directness: 33.1 - 30.4 ▪ 10+ pass sequences: 11 - 23 ▪ Goalkick length: 47.0 - 27.3 ▪ Goalkick progr.: 25.1 - 90.9 https://t.co/GvQCk8H0Kl
2024-06-26 03:08:55+00,Lionel Messi vs. Chile  Successful Passes: 35 Expected Threat: 0.78 Progression via pass: 4.4 Progression via carry: 1.53 https://t.co/MRMgXTQA06
2024-06-26 03:08:43+00,Chile 0 : 1 Argentina  ▪ Penbox shots: 1 - 13 ▪ Deep completions: 1 - 13 ▪ Buildup completion: 81.0% - 88.1% ▪ PPDA: 9.9 - 6.5 ▪ High turnovers: 3 - 7 https://t.co/vvGljqugWp
2024-06-26 00:18:20+00,Peru 0 : 1 Canada  ▪ xG: 0.36 - 2.64 ▪ xThreat: 0.91 - 1.39 ▪ Possession: 50.3% - 49.7% ▪ Field Tilt: 43.4% - 56.6% ▪ Def Action Height: 47.2 - 41.7 https://t.co/IhhlcKsBNO
2024-06-25 21:01:49+00,Denmark 0 : 0 Serbia  ▪ xG: 0.67 - 0.19 ▪ xThreat: 1.11 - 0.99 ▪ Possession: 53.0% - 47.0% ▪ Field Tilt: 66.3% - 33.7% ▪ Def Action Height: 51.5 - 38.8 https://t.co/FwCQ4IEiIK
2024-06-25 21:02:09+00,Denmark 0 : 0 Serbia  ▪ Pass directness: 28.9 - 27.8 ▪ 10+ pass sequences: 24 - 18 ▪ Goalkick length: 65.7 - 30.2 ▪ Goalkick progr.: 30.6 - 41.5 https://t.co/PTO6n8zO1K
2024-06-25 21:02:11+00,Pierre-Emile Højbjerg vs. Serbia  Successful Passes: 57 Expected Threat: 0.16 Progression via pass: 5.37 Progression via carry: 1.99 https://t.co/NxMTuWnhHm
2024-06-25 20:59:24+00,England 0 : 0 Slovenia  ▪ xG: 0.87 - 0.14 ▪ xThreat: 1.81 - 0.56 ▪ Possession: 73.2% - 26.8% ▪ Field Tilt: 77.8% - 22.2% ▪ Def Action Height: 55.3 - 33.5 https://t.co/7pyzlJuGFv
2024-06-25 20:59:44+00,England 0 : 0 Slovenia  ▪ Pass directness: 25.6 - 31.7 ▪ 10+ pass sequences: 31 - 6 ▪ Goalkick length: 38.1 - 43.1 ▪ Goalkick progr.: 41.2 - 21.6 https://t.co/dHiWuV0nML
2024-06-25 20:59:47+00,Marc Guéhi vs. Slovenia  Successful Passes: 102 Expected Threat: 0.27 Progression via pass: 6.86 Progression via carry: 3.46 https://t.co/6ieYFmu9kn
2024-06-25 18:08:46+00,France 1 : 1 Poland  ▪ xG: 2.43 - 1.32 ▪ xThreat: 1.71 - 0.72 ▪ Possession: 57.7% - 42.3% ▪ Field Tilt: 79.0% - 21.0% ▪ Def Action Height: 53.8 - 36.0 https://t.co/u1bmA21FpE
