Home Team,Home Score,Away Score,Away Team,Home xG,Away xG,Home xThreat,Away xThreat,Home Pass directness,Away Pass directness,Home Penbox shots,Away Penbox shots,Home Possession,Away Possession,Home Field Tilt,Away Field Tilt,Home Def Action Height,Away Def Action Height,Home 10+ Pass Sequences,Away 10+ Pass Sequences,Home Goal Kick Length,Away Goal Kick Length,Home Goal Kick Progression,Away Goal Kick Progression
Aston Villa,3.0,3.0,Liverpool,2.69,1.88,1.58,1.4,32.9,32.7,15.0,9.0,41.0,59.0,46.6,53.4,52.1,44.9,12.0,24.0,28.5,11.4,41.6,55.3
Atalanta,0.0,1.0,Liverpool,0.6,1.81,0.85,1.45,48.0,28.6,,,30.5,69.5,39.4,60.6,44.1,42.8,2.0,22.0,53.4,10.1,64.3,47.4
Atalanta,3.0,0.0,Leverkusen,1.01,0.66,0.76,1.32,33.5,32.3,,,33.7,66.3,48.4,51.6,46.9,33.5,7.0,17.0,63.7,15.4,29.4,29.1
Atletico,0.0,3.0,Barcelona,0.71,1.55,0.87,1.43,33.0,30.1,,,41.2,58.8,59.6,40.4,46.6,46.4,12.0,21.0,30.4,27.3,37.5,50.0
Atletico,2.0,1.0,Dortmund,2.42,1.07,1.11,1.23,,,,,33.7,66.3,41.0,59.0,41.9,45.5,,,,,,
Austria,0.0,1.0,France,0.81,1.55,1.3,1.36,32.1,30.3,,,51.5,48.5,52.1,47.9,46.6,39.6,16.0,13.0,28.4,26.1,61.0,49.9
Austria,1.0,2.0,Turkiye,2.62,1.34,3.12,1.12,,,,,60.3,39.7,83.7,16.3,42.1,41.7,,,,,,
Barcelona,1.0,0.0,Las Palmas,1.51,0.29,1.99,0.5,28.5,36.7,,,68.7,31.3,78.4,21.6,52.6,40.9,29.0,6.0,33.3,49.9,62.1,23.2
Barcelona,1.0,4.0,PSG,0.95,2.86,1.02,1.37,39.6,26.0,,,33.0,67.0,25.1,74.9,38.4,46.0,6.0,21.0,30.9,35.9,50.1,36.2
Barcelona,2.0,0.0,Sociedad,1.75,0.73,1.08,0.63,28.0,29.9,,,56.5,43.5,68.3,31.7,49.5,43.3,23.0,11.0,26.2,22.0,56.2,27.0
Barcelona,3.0,0.0,Rayo,1.69,1.84,1.38,1.39,26.6,33.1,,,71.4,28.6,70.7,29.3,46.2,40.6,27.0,6.0,30.3,59.6,65.2,8.0
Barcelona,4.0,2.0,Valencia,2.92,1.69,2.56,0.5,27.7,39.5,,,79.3,20.7,92.5,7.5,56.6,34.1,35.0,2.0,36.4,41.9,98.1,24.6
Bayern,0.0,2.0,Dortmund,2.04,1.11,2.45,0.91,28.0,31.7,13.0,6.0,60.5,39.5,66.3,33.7,48.4,31.6,26.0,10.0,26.6,21.4,78.8,34.1
Bayern,1.0,0.0,Arsenal,1.4,0.56,1.15,1.14,27.0,27.9,,,51.0,49.0,44.2,55.8,35.2,53.5,21.0,19.0,20.0,14.6,60.7,76.2
Bayern,2.0,0.0,Koln,1.84,0.88,1.91,0.92,31.5,35.6,,,68.6,31.4,70.5,29.5,49.2,43.5,25.0,6.0,22.2,12.1,60.1,63.4
Bayern,2.0,0.0,Wolfsburg,0.35,0.15,1.57,0.84,29.2,33.0,5.0,1.0,59.2,40.8,57.1,42.9,49.8,38.5,37.0,20.0,15.0,16.7,30.7,45.6
Bayern,2.0,1.0,Eintracht,3.02,0.46,1.92,0.69,29.1,29.7,,,61.6,38.4,68.8,31.2,49.0,42.4,27.0,17.0,15.4,41.3,68.6,28.0
